,FBCLOSE,FBVOLUME,AAPLCLOSE,AAPLVOLUME,AMZNCLOSE,AMZNVOLUME,GOOGLCLOSE,GOOGLVOLUME,NFLXCLOSE,NFLXVOLUME,SP500
12/3/2020,281.85,12921694,122.94,78967630,3186.73,2892039,1821.84,1236366,497.52,2826116,3666.72
12/2/2020,287.52,17361624,123.08,89004195,3203.53,3129304,1824.97,1471235,503.38,3028358,3669.01
12/1/2020,286.55,20602115,122.72,125920963,3220.08,4493554,1795.36,1861965,504.58,4904884,3662.45
11/30/2020,276.97,16693336,119.05,169410176,3168.04,4063916,1754.4,1620887,490.7,3530940,3621.63
11/27/2020,277.81,7808426,116.59,46691331,3195.34,2392867,1787.02,739507,491.36,2805762,3638.35
11/25/2020,275.59,12467009,116.03,76499234,3185.07,3790403,1764.13,979957,485,3598629,3629.65
11/24/2020,276.92,16852501,115.17,113226248,3118.06,3570889,1763.9,1360436,482.88,3462363,3635.41
11/23/2020,268.43,20990786,113.85,127959318,3098.39,4708887,1727.56,1127618,476.62,5416571,3577.59
11/20/2020,269.7,18122412,117.34,73604287,3099.4,3380138,1736.38,1385322,488.24,4255924,3557.54
11/19/2020,272.94,12963658,118.64,74112972,3117.02,3010270,1758.57,1005340,484.67,2254653,3581.87
11/18/2020,271.97,12152945,118.03,76322111,3105.46,2916836,1740.64,1005377,481.79,3629237,3567.79
11/17/2020,275,15040297,119.39,74270973,3135.66,3444735,1761.66,1066034,480.63,3698082,3609.53
11/16/2020,278.96,12970352,120.3,91183018,3131.06,3808676,1774.03,1273393,479.1,3953563,3626.91
11/13/2020,276.95,10400101,119.26,81688586,3128.81,3762587,1772.26,1487877,482.84,3006510,3585.15
11/12/2020,275.08,12914206,119.21,103350674,3110.28,4371208,1742.82,1324363,486.77,5071155,3537.01
11/11/2020,276.48,14956950,119.49,112294954,3137.39,4366923,1747.23,1591906,490.76,5460532,3572.66
11/10/2020,272.43,29067691,115.97,138023390,3035.02,6590956,1737.72,2151058,480.24,8306142,3545.53
11/9/2020,278.77,25117650,116.32,154515315,3143.74,7190406,1761.42,2672024,470.5,10419676,3550.5
11/6/2020,293.41,13890974,118.69,114457922,3311.37,4647330,1759.73,1431084,514.73,4236349,3509.44
11/5/2020,294.68,23823633,119.03,126387074,3322,5789285,1762.5,1987907,513.76,5372781,3510.45
11/4/2020,287.38,35364424,114.95,138235482,3241.16,6839041,1745.85,3567149,496.95,5137330,3443.44
11/3/2020,265.3,17961859,110.44,107624448,3048.41,4897880,1645.66,1571641,487.22,3690213,3369.16
11/2/2020,261.36,27165679,108.77,122866899,3004.48,7257350,1624.32,2211449,484.12,4408193,3310.24
10/30/2020,263.11,47299002,108.86,190573476,3036.15,8396081,1616.11,4996197,475.74,7813897,3269.96
10/29/2020,280.83,32368118,115.32,146129173,3211.01,6596529,1556.88,2770343,504.21,11120689,3310.11
10/28/2020,267.67,23121808,111.2,143937823,3162.78,5588330,1510.8,2258675,486.24,5992731,3271.03
10/27/2020,283.29,16287249,116.6,92276772,3286.33,4291047,1598.88,1295138,488.93,3627175,3390.68
10/26/2020,277.11,21322925,115.05,111850657,3207.04,5901151,1584.29,1791317,488.24,6186087,3400.97
10/23/2020,284.79,17535155,115.04,82572645,3204.4,3466687,1632.98,1527402,488.28,4927862,3465.39
10/22/2020,278.12,16720026,115.75,101987954,3176.4,4212005,1606.66,1525773,485.23,6997922,3453.49
10/21/2020,278.73,28998638,116.87,89945980,3184.94,4592736,1585.99,3016053,489.05,17405708,3435.56
10/20/2020,267.56,18763246,117.51,124423728,3217.01,4509678,1551.08,2085915,525.42,10047175,3443.12
10/19/2020,261.4,13586955,115.98,120639337,3207.21,5223626,1529.95,1486652,530.72,7567506,3426.92
10/16/2020,265.93,16622702,119.02,115393808,3272.71,6474353,1567.7,1710325,530.79,6347363,3483.81
10/15/2020,266.72,15416064,120.71,112559219,3338.65,5223448,1555.47,1561485,541.94,5113126,3483.34
10/14/2020,271.82,15601154,121.19,151062308,3363.71,5828916,1563.44,1659228,541.45,9510081,3488.67
10/13/2020,276.14,18063343,121.1,262330451,3443.63,5744697,1567.07,1953609,554.09,5602498,3511.93
10/12/2020,275.75,31019256,124.4,240226769,3442.93,8364198,1564.59,2767164,539.81,5391074,3534.22
10/9/2020,264.45,14107803,116.97,100506865,3286.65,4907871,1510.45,1648340,539.44,4781259,3477.13
10/8/2020,263.76,16312762,114.97,83477153,3190.55,3174114,1483.43,1303802,531.79,5386488,3446.83
10/7/2020,258.12,23133417,115.08,96848985,3195.69,4309439,1459.14,1805448,534.66,7988683,3419.45
10/6/2020,258.66,18696917,113.16,161498212,3099.96,5086857,1451.02,1304752,505.87,4199034,3360.95
10/5/2020,264.65,12822252,116.5,106243839,3199.2,3775332,1482.83,1080058,520.65,4088069,3408.63
10/2/2020,259.94,16367597,113.02,144711986,3125,5613098,1455.6,1561132,503.06,6071165,3348.44
10/1/2020,266.63,20009801,116.79,116120440,3221.26,4971922,1487.9,1644221,527.51,8153710,3380.8
9/30/2020,261.9,20142546,115.81,142675184,3148.73,4896101,1465.6,2046170,500.03,4634111,3363
9/29/2020,261.79,20215504,114.09,100060526,3144.88,3503398,1466.02,1591112,493.48,3543193,3335.47
