,beat,population,square_mileage,households,percent_white,percent_hispanic,percent_black,percent_asian,percent_mixed,percent_other,med_income,percent_on_fs,percent_bachelors,percent_high_school,percent_no_high_school
35,332,6699.634008797801,0.3827254984,3087.3345870944,2.3149461841637264,0.0366727902863589,95.2498027874032,1.0841510297908596,0.1764738303312417,1.1379535478100014,19505.0640107588,50.40619367877138,32.983118839806984,52.70824447315563,14.308600291316624
36,333,4030.3506514534,0.2650491685,1829.3020440059,2.4846948493895296,1.3977708690826889,93.03125109840217,0.0548689291514259,1.7916439954637755,1.2397707455871407,26914.4508236142,33.5065451932236,38.13402689490256,51.8387425412315,10.026930811527668
37,334,7910.3499795538,0.3796755131,4504.6823309708,4.534869240870612,2.4830223281963977,90.07855984378116,0.2377381529908085,1.9647525012675449,0.7010581006610294,24083.1995439017,34.30674305461736,29.3811268966375,57.967751802705,12.651152849790336
38,411,5992.3217488951,0.652649197,2300.5913227258,0.3135040802434199,0.9706994082756863,98.17049742640212,2.661779635404424e-05,0.2713186084375025,0.2739541126980859,29260.194671330097,32.148565344691235,31.46943504202899,56.36770702440413,12.162598953567477
39,412,9781.0284720459,1.3130663252,4147.248106343,1.3241432803304105,0.3747594231850017,97.1672037153528,0.1930476787759563,0.7662524750336734,0.1745934389640723,46549.5151601308,23.97755809280384,32.364472824703455,57.18195881205348,10.453358815785013
40,413,9557.8858520489,1.4236282921,3752.3966617098,1.256743557535274,0.6408543232148932,97.15023774353917,0.0519892035468784,0.8378320593997642,0.0623432916278514,45421.4146763528,25.744965151954712,33.6251185651493,53.73103490147585,12.643787411926416
41,414,10300.3572447561,0.933179764,4402.295135871,0.7006772945272634,1.1601567376533224,96.51160369764332,0.0,1.568133146266663,0.0594292281407657,43118.1778174998,25.0608208390172,37.07596387307101,55.093188275361385,7.83000848984994
42,421,10040.2611718019,0.6402994797,3850.1143701078,4.354812841000336,1.2125626338996005,92.27189919160192,0.1783574277090859,1.7745748528882537,0.2077928935852152,22492.0757097294,41.59683487285232,25.071378261816967,61.24392734735841,13.684829988661676
43,422,5280.4263426937,0.6134623322999999,1834.5028705512,1.7497435467770803,9.205791285027637,86.5111809132262,0.0,2.064077842591398,0.4692061941964519,32880.8236342885,38.174335434939,24.163483257055383,61.546508008906976,14.29000006677714
44,423,12259.8654568437,1.211218602,4266.4021181181,2.1870359757580027,18.38178375605505,79.11238575980117,0.1250699612183801,0.1005577588709844,0.0931667475006746,33482.8874008037,32.442698239523644,21.886604281646672,58.04266016638999,20.071466769066102
45,424,8449.3667573486,1.4768600666999998,3019.1264854907,3.741932063278238,35.75041562339977,60.11439508135131,0.0885009536069246,0.1692976333612101,0.1354586064067545,22536.504665142,53.68914822010007,16.16756614101595,51.53597207396102,32.29654694944787
46,431,10384.0802219155,2.3371669678,3629.6268215902,5.535534713805078,25.769670113453557,68.1389275413552,0.0077915233146258,0.5480715255684118,4.507165680521535e-06,36492.0436946072,28.052396700364103,18.85286789256452,62.37410403094349,18.772992027442623
47,432,17478.995772888302,2.4312671837,5097.1385702733005,13.743394798253616,80.97063748642765,4.865441340413296,0.2365294899437367,0.0632537807500884,0.1207432970447624,42206.321492235096,24.96169153690832,16.06537170699548,51.1479758523127,32.7864824850441
48,433,15205.8377980509,5.5954431103,5642.3153500240005,36.30054740483838,58.03957357100605,5.106447525796505,0.3261741353275349,0.1554252132679555,0.0718322602961086,57592.385224137695,13.959010891974511,22.429622989093136,58.98310726128455,18.587460440039624
49,434,4191.2968927708,8.4058003187,1456.8279061313,11.6759382393091,36.59171987785186,49.879328481191024,0.0043729833364019,1.2817977141243255,0.5668429443325338,31128.8970486492,34.273019348003864,15.15289175759677,57.874594522182,26.970962114059667
50,511,13572.1861430587,2.4979992280000003,5139.5509053143,1.038567938113567,0.2352960925387293,97.17682391044596,0.5332637462588548,0.9210498938937176,0.0949983072932883,40540.7340014035,30.2245054584415,29.622935474374657,56.75956738611732,13.617266436003096
51,512,8032.4445271379,1.1346558015,2860.1909076422,0.8480167185738546,0.3362713596208852,97.57098543487334,0.494473268617173,0.6923802159654207,0.0578731684619101,35135.010550002,40.17462631389655,30.39372042342797,54.47934130442613,15.12645079198666
52,513,7704.9753175289,0.9811966084,2619.4684369808,0.4485538164680872,0.099663488405084,98.43747575361073,0.2438966119378423,0.7252849952635867,0.0451254199256162,33444.7825690671,42.8067350825277,24.286785046016,57.65216746531665,18.05989425843032
53,522,6194.5554921104,0.6349415814,1728.3525173839002,0.7001312553295802,0.5606674168943102,97.02358866545748,0.0003164313068946,1.7152894748724017,6.756189375218872e-06,31979.433941580297,46.80280480755791,17.61342150029044,61.76230710174546,20.62553298482835
54,523,10875.4850674276,1.3155852863,3457.2867499174,0.8078585210984189,0.4595016693579095,97.60834979996966,0.4646105198961175,0.609183939500095,0.0504955505345468,37911.41050822,39.30509648306337,25.437757600581545,60.25266201171138,14.311396716738386
