fips,MedianIncome,PovertyEst,LaborForce,UnemploymentRate,Older,Urban,Trump2016,Trump2020,RepGov,Female,AdherentPercent
48411,48349,932,2193,5.2,23.439,50.64,86.02379,88.701,1.0,0.0,64.47588889
48413,54471,364,1209,6.9,15.03876,0.0,77.70398,81.1044,1.0,0.0,54.32
48415,57158,2077,6251,8.2,15.14073,68.3,83.69131,84.90373,1.0,0.0,65.309
48417,64931,410,1782,5.3,18.31832,0.0,91.74434,91.15479,1.0,0.0,82.35588889
48419,41194,4447,11274,6.8,15.34091,20.57,79.04542,79.08568,1.0,0.0,53.83088889
48421,66408,338,1307,3.1,11.55116,0.0,86.49518,89.40464,1.0,0.0,72.544
48423,60735,29150,108544,6.8,14.96143,68.39,70.50301,69.02823,1.0,0.0,71.00488889
48425,67984,743,4328,6.5,16.81736,0.0,82.71414,82.97958,1.0,0.0,41.01288889
48427,35716,15985,26319,17.3,11.05738,76.29,18.97186,47.05849,1.0,0.0,49.96388889
48429,48911,1349,4020,6.1,19.0205,60.63,87.83666,89.07894,1.0,0.0,77.28988889
48431,68435,130,560,6.4,14.50382,0.0,86.72986,91.39281,1.0,0.0,76.28988889
48433,59802,189,576,5.0,26.00733,0.0,79.17261,83.55978,1.0,0.0,93.69088889
48435,64612,435,1229,9.8,14.73952,81.2,75.97173,78.48427,1.0,0.0,75.533
48437,39897,1310,2533,5.2,18.54725,62.43,76.30137,78.34395,1.0,0.0,77.55288889
48439,72064,220041,1082822,7.3,9.682348,98.71,52.15243,49.08859,1.0,0.0,55.21388889
48441,52974,16436,66148,5.5,13.54776,83.97,73.28237,71.75751,1.0,0.0,66.208
48443,42849,98,393,4.6,,,,,,,109.6538889
48445,47292,2060,4840,7.3,14.88994,75.33,73.45434,77.85161,1.0,0.0,60.45388889
48447,46820,201,635,4.9,28.19672,0.0,88.4901,89.65517,1.0,0.0,99.208
48449,52973,4630,13303,6.7,12.21102,49.44,69.80166,71.82845,1.0,0.0,82.75488889
48451,55990,13885,53742,6.3,14.5062,84.36,71.84547,71.47313,1.0,0.0,60.307
48453,82605,129969,741012,6.3,8.075029,94.54,27.40475,26.43357,1.0,0.0,46.21488889
48455,47685,2477,5313,8.1,25.26169,22.76,79.18756,80.41222,1.0,0.0,65.97888889
48457,48809,3724,7372,9.9,21.95378,21.87,82.83348,84.82401,1.0,0.0,59.26688889
48459,58231,5243,17448,7.7,16.14372,20.7,82.91243,83.70308,1.0,0.0,48.67588889
48461,59593,430,1835,5.6,12.42515,0.0,74.15124,86.11111,1.0,0.0,70.34288889
48463,49275,4984,11333,6.4,15.43116,68.62,54.02865,59.69832,1.0,0.0,77.98088889
48465,54346,7332,22589,7.9,13.35378,89.84,43.45503,54.24306,1.0,0.0,38.305
48467,57891,7302,26130,6.1,18.8984,24.98,85.00161,85.67361,1.0,0.0,48.042
48469,53583,14859,41172,8.3,13.81427,73.37,68.48737,68.32222,1.0,0.0,75.41588889
48471,43002,9987,24085,7.2,14.41846,54.42,65.42702,65.1152,1.0,0.0,42.38988889
48473,69460,6689,23804,7.8,12.14965,38.36,62.9674,62.72543,1.0,0.0,33.66288889
48475,57257,1170,6171,9.4,13.79621,72.11,74.45063,79.82759,1.0,0.0,63.248
48477,62667,3937,15329,5.6,19.8378,46.51,74.21171,74.40004,1.0,0.0,69.132
48479,56588,54564,116195,8.5,8.318097,97.4,22.7654,37.86423,1.0,0.0,58.82588889
48481,55887,5675,21376,6.8,15.22139,50.1,69.00796,71.15327,1.0,0.0,81.134
48483,49838,662,2226,6.0,16.48649,0.0,90.50304,92.3834,1.0,0.0,43.40088889
48485,54659,19233,55306,6.7,14.44619,89.33,72.82198,69.66978,1.0,0.0,67.03088889
48487,51774,1784,4949,5.9,16.5006,78.11,77.20068,77.89567,1.0,0.0,82.70388889
48489,40190,4393,6597,12.0,13.6888,65.42,30.32271,43.98991,1.0,0.0,62.198
48491,91507,34425,318447,5.9,10.24485,88.01,51.87858,48.29699,1.0,0.0,37.47788889
48493,74529,4847,24473,5.7,13.39415,14.14,72.66164,73.81361,1.0,0.0,45.83888889
48495,77960,918,4039,9.3,11.44578,81.87,74.90657,82.45531,1.0,0.0,73.61488889
48497,71636,6982,32140,6.5,13.72874,27.89,83.75572,83.53007,1.0,0.0,41.23188889
48499,61886,6015,17919,6.6,26.03965,25.8,84.09846,83.62527,1.0,0.0,57.99288889
48501,67132,934,3528,11.9,11.03659,62.67,78.16441,82.63018,1.0,0.0,81.749
48503,54569,2610,7803,5.3,18.4867,66.43,86.01463,86.29688,1.0,0.0,83.41788889
48505,39876,3471,4600,12.4,11.20841,76.47,32.80153,52.47806,1.0,0.0,30.63188889
48507,34898,3094,3430,14.1,12.66413,61.97,20.41298,34.02603,1.0,0.0,42.79388889
49001,61858,514,2831,4.0,13.0094,43.48,73.81526,86.93549,1.0,0.0,77.62888889
49003,73926,3817,26424,4.4,12.03283,68.9,62.38821,79.72768,1.0,0.0,90.295
49005,65391,11607,65407,2.9,8.397785,84.31,46.38647,66.06104,1.0,0.0,87.746
49007,51902,2590,8575,5.2,14.71457,66.29,66.28294,71.43772,1.0,0.0,79.94188889
49009,63461,67,401,4.5,24.21875,0.0,70.32258,80.12924,1.0,0.0,65.62788889
49011,92253,17794,175905,4.1,8.831068,99.08,44.89256,61.29374,1.0,0.0,82.371
49013,61709,2076,7782,7.7,10.67661,31.79,79.41431,88.13937,1.0,0.0,78.07788889
49015,64144,938,4372,4.7,13.66197,26.36,79.80296,86.47482,1.0,0.0,81.91488889
49017,47638,474,2634,10.2,18.91892,0.0,68.74455,78.98975,1.0,0.0,74.55488889
49019,58852,1015,6161,9.5,14.46303,74.61,43.40215,43.35583,1.0,0.0,53.77788889
49021,52942,7593,24994,4.5,11.0835,77.45,65.29243,76.29169,1.0,0.0,77.486
49023,70086,926,5881,2.9,11.34474,56.53,67.68891,86.72008,1.0,0.0,83.457
49025,58352,690,3835,5.4,20.81575,45.08,64.5606,71.72249,1.0,0.0,66.66688889
49027,60316,1409,5941,3.2,15.22617,26.06,73.74857,87.72727,1.0,0.0,83.012
49029,103746,460,5561,3.3,11.09489,37.15,61.4486,79.56081,1.0,0.0,89.62888889
49031,47206,219,477,6.3,23.83562,0.0,87.03403,88.74857,1.0,0.0,66.58088889
49033,75531,205,1162,3.4,16.84902,0.0,71.71533,84.88628,1.0,0.0,87.986
49035,79294,79980,642357,5.1,9.266241,99.1,32.62819,42.53227,1.0,0.0,73.237
49037,50686,2782,5457,10.2,11.4208,22.13,48.93222,51.39576,1.0,0.0,50.33188889
49039,55033,4030,12640,3.7,14.01005,59.07,65.82123,82.80421,1.0,0.0,80.05188889
49041,56318,2156,9811,4.2,15.31509,35.29,77.6962,87.34923,1.0,0.0,87.732
49043,115756,1922,24314,7.2,9.326018,60.8,35.5635,39.29776,1.0,0.0,57.557
49045,79101,4224,35084,4.8,8.019843,82.3,51.27215,66.67301,1.0,0.0,87.849
49047,63282,3853,13385,9.2,9.065196,53.15,76.65916,86.63357,1.0,0.0,71.585
49049,81804,49771,314022,3.7,7.071242,96.67,51.30557,67.77699,1.0,0.0,90.95
49051,87098,1636,16269,6.4,9.116648,73.15,50.45379,61.40151,1.0,0.0,66.68888889
49053,71904,12615,79208,5.3,18.97431,84.79,68.81761,74.37773,1.0,0.0,75.66488889
49055,54790,310,1428,7.6,18.01126,0.0,68.01418,75.8174,1.0,0.0,78.61788889
49057,72091,18994,129907,4.8,10.73506,94.2,47.20261,59.17787,1.0,0.0,75.299
50001,73049,2865,19936,5.0,16.87225,21.57,30.11028,28.57143,1.0,0.0,29.179
50003,65528,3536,17132,6.6,20.35033,35.49,36.24962,34.76688,1.0,0.0,34.82788889
50005,52203,3145,14156,5.8,17.49456,25.61,42.67315,40.5158,1.0,0.0,33.41
50007,80539,13194,93110,4.8,12.92356,74.01,23.68275,21.24754,1.0,0.0,39.09388889
50009,50956,775,2596,6.5,22.00647,0.0,55.6541,53.92336,1.0,0.0,15.57188889
50011,62763,4345,26329,5.3,13.0072,28.29,45.17628,43.64692,1.0,0.0,43.35688889
50013,79994,528,4003,5.9,16.61871,0.0,39.35945,37.31189,1.0,0.0,46.987
50015,57909,1990,13376,7.8,14.62864,0.0,30.66747,27.9115,1.0,0.0,18.909
50017,60624,2722,15395,4.8,17.20163,2.76,37.11378,36.1348,1.0,0.0,14.325
50019,56721,2765,12702,7.9,19.32422,14.7,46.94212,46.1975,1.0,0.0,29.16488889
50021,62289,6659,29383,6.9,18.49021,38.99,45.08677,43.19105,1.0,0.0,38.34388889
50023,70061,4454,33025,4.8,16.24473,47.19,27.89488,25.28677,1.0,0.0,35.247
50025,59017,4619,21014,6.3,18.73514,31.75,25.82384,24.73593,1.0,0.0,31.08788889
50027,60842,4683,27903,5.3,19.67853,24.41,30.91406,28.94676,1.0,0.0,26.38788889
51001,44127,5617,16052,6.5,20.69127,0.0,54.4716,54.07381,0.0,0.0,42.136
51003,79708,6602,55794,5.4,16.46268,54.98,34.26088,32.17594,0.0,0.0,25.06688889
51005,52281,1681,6820,6.5,22.76757,47.61,66.69861,71.42509,0.0,0.0,34.548
51007,70511,1155,6202,5.8,16.9901,0.0,66.86567,68.28835,0.0,0.0,36.11488889
51009,61111,3435,14695,5.6,18.49646,36.34,63.5914,64.92796,0.0,0.0,41.23
51011,55152,2010,7046,5.8,18.26288,0.0,71.83807,72.31334,0.0,0.0,37.487
51013,125004,14273,151080,4.5,9.000384,100.0,16.88815,17.07588,0.0,0.0,31.22588889
51015,67698,6074,37046,4.6,18.88913,33.56,71.33466,72.64771,0.0,0.0,38.08388889
51017,56165,455,2290,9.9,21.91324,0.0,69.01471,73.33067,0.0,0.0,52.10288889
51019,70004,5417,37737,5.1,18.5051,21.57,72.48376,73.14718,0.0,0.0,40.78
51021,56637,674,2811,5.6,21.88317,0.0,82.33035,83.44352,0.0,0.0,30.75888889
51023,70803,2193,17140,4.5,18.96578,35.9,71.71825,71.49148,0.0,0.0,46.91988889
51025,45556,2785,5951,8.0,20.16835,24.49,39.82996,42.23704,0.0,0.0,43.123
51027,35891,4642,6450,9.5,19.02744,0.0,79.08894,83.50246,0.0,0.0,23.62888889
51029,49339,2519,6317,7.4,17.52165,0.0,54.48929,55.91927,0.0,0.0,20.209
51031,59223,4874,25507,5.9,17.5667,38.89,71.43067,71.07253,0.0,0.0,40.724
51033,67663,2950,15004,6.7,15.18546,21.6,50.34182,51.17878,0.0,0.0,33.635
51035,48555,3945,13153,8.2,20.93297,2.86,78.40583,80.88301,0.0,0.0,34.85088889
51036,61850,676,3610,6.5,20.22472,0.0,36.87584,39.65323,0.0,0.0,48.787
51037,45084,2001,5084,5.6,19.79424,0.0,60.06561,61.62171,0.0,0.0,61.346
51041,83598,23305,186087,5.9,12.23064,94.07,48.45625,45.77407,0.0,0.0,38.836
51043,88407,894,7498,4.5,18.54352,30.48,57.27463,55.60673,0.0,0.0,39.86
51045,57314,525,2286,5.1,20.98171,0.0,76.83189,80.02525,0.0,0.0,45.64488889
51047,80151,4415,24511,5.0,13.77098,38.08,60.40205,59.05001,0.0,0.0,36.047
51049,51035,1337,4569,6.1,18.64493,4.0,55.24102,56.85499,0.0,0.0,27.91488889
51051,38394,2615,4746,8.0,17.93767,0.0,77.00234,78.70738,0.0,0.0,13.306
51053,63567,3117,13439,6.4,15.85612,28.79,55.02845,57.61331,0.0,0.0,26.681
51057,56134,1325,5488,7.0,19.57117,22.72,49.62645,49.77339,0.0,0.0,41.261
51059,132509,59990,628397,5.8,11.0028,98.61,29.07519,28.02839,0.0,0.0,44.961
51061,106977,4270,36812,4.7,14.48163,42.5,59.55716,57.50212,0.0,0.0,45.06488889
51063,54262,1708,8054,5.1,19.27438,0.0,66.34471,66.16709,0.0,0.0,35.631
51065,79598,1768,13723,5.3,18.08812,37.09,52.01601,51.48358,0.0,0.0,21.97288889
51067,61714,6320,25985,5.5,20.15157,10.77,69.24081,70.3488,0.0,0.0,43.10788889
51069,83033,6658,48636,4.6,14.59554,55.23,64.95652,62.74357,0.0,0.0,33.17688889
51071,55983,1757,7739,6.3,19.46929,33.72,72.35237,74.93462,0.0,0.0,50.12088889
51073,73893,2931,19249,5.4,16.23094,35.37,67.03032,66.75793,0.0,0.0,41.31488889
51075,101927,1351,11142,4.9,19.50024,3.01,60.11486,58.79646,0.0,0.0,65.875
51077,45896,2346,8104,5.7,22.23317,0.12,77.05979,80.29762,0.0,0.0,46.9
51079,70046,1606,10198,5.2,14.28571,48.76,62.53815,60.70197,0.0,0.0,19.30088889
51081,48578,1683,4239,6.8,20.95175,12.99,39.81205,41.84521,0.0,0.0,22.30688889
51083,43386,5854,15176,7.0,20.80634,22.92,57.22884,57.09119,0.0,0.0,68.22888889
51085,97717,5266,57934,4.8,14.8614,60.91,63.5373,62.44875,0.0,0.0,49.00288889
51087,80105,27328,180321,6.5,13.12086,95.73,36.84354,34.63789,0.0,0.0,50.94588889
51089,41706,6385,23810,7.6,20.94523,39.28,63.28603,64.06818,0.0,0.0,48.025
51091,52898,267,1239,3.7,34.07573,0.0,68.87132,71.23288,0.0,0.0,60.836
51093,75481,2845,19092,5.1,16.13996,42.61,58.44929,58.43707,0.0,0.0,39.56288889
51095,86501,4937,36558,6.9,22.13691,84.15,49.80228,46.65874,0.0,0.0,39.374
51097,60133,767,3867,5.1,19.77481,0.0,56.95713,59.53828,0.0,0.0,31.47588889
