Fips,Income,Older,Urban,Trump2016,Trump2020,RepGov,Female
29039,37288,22.54188,24.7,79.94585,82.16922,1,0
29041,48421,20.40404,0,74.40686,76.30611,1,0
29043,58057,13.58171,55.2,74.74755,74.55326,1,0
29045,46832,18.61314,0,74.12545,78.72717,1,0
29047,68943,12.11842,90.18,52.48039,51.0433,1,0
29049,58641,15.19461,23.79,69.21644,71.62932,1,0
29051,62817,13.72194,70.93,66.04761,65.99206,1,0
29053,52513,16.43793,46.8,70.499,72.15,1,0
29055,42774,16.85532,26.69,77.8629,79.51335,1,0
29057,41381,20.9645,0,80.58719,82.88419,1,0
29059,38765,18.00673,18.07,79.23387,81.67571,1,0
29061,51255,18.26625,0,74.89835,79.31475,1,0
29063,48920,18.12333,37.6,77.12418,79.04192,1,0
29065,39392,19.28572,31.43,82.60548,83.82806,1,0
29067,36762,21.44992,20.88,82.32293,84.25714,1,0
29069,37331,16.22103,49.54,75.90316,78.07851,1,0
29071,58738,14.74533,44.4,70.7763,70.89131,1,0
29073,52282,19.72743,19.13,76.16873,78.53086,1,0
29075,43731,19.11315,0,75.96439,79.73432,1,0
29077,44799,14.87778,86,60.64384,58.97743,1,0
29079,40315,20.24169,54.54,78.45004,80.79784,1,0
29081,40639,20.09456,29.61,80.52689,83.58599,1,0
29083,44978,19.57817,50.45,71.76053,74.40675,1,0
29085,35025,31.31422,0,75.0265,78.07087,1,0
29087,47191,20.97669,0,82.02726,84.33632,1,0
29089,45767,16.26059,35.94,67.55308,69.77612,1,0
29091,36762,17.66629,27.83,79.74734,81.39947,1,0
29093,37755,16.74208,25.15,74.48357,78.3101,1,0
29095,55864,12.88214,96.16,39.03143,37.99131,1,0
29097,46596,13.35599,76.31,72.76614,72.06602,1,0
29099,65150,12.41715,69.8,65.08791,66.02736,1,0
29101,52151,11.64638,49.56,64.97842,66.98525,1,0
29103,39309,19.24051,0,75.68291,80.15102,1,0
29105,44562,15.96985,39.49,80.41857,81.95081,1,0
29107,53389,16.95126,43.05,69.40878,71.9613,1,0
29109,45074,16.01329,41.31,78.46947,80.56967,1,0
29111,48179,16.95005,0,75.08985,77.08831,1,0
29113,62238,11.61478,25.17,72.86076,75.2912,1,0
29115,44992,18.94435,33.55,73.29504,76.1963,1,0
29117,48749,18.99012,63.4,76.1392,77.93726,1,0
29119,40204,13.22552,0.01,80.15305,82.45885,1,0
29121,45440,19.3474,32.21,76.44808,77.53957,1,0
29123,40191,18.52003,34.49,77.13426,80.7611,1,0
29125,46371,18.98664,0,79.12405,81.57619,1,0
29127,49393,15.83868,75.23,72.99644,74.28079,1,0
29129,46014,19.86301,0,85.45141,86.6217,1,0
29131,47225,16.6599,20.22,81.34747,82.18382,1,0
29133,34735,17.29383,67.3,69.6999,74.36922,1,0
29135,57047,14.71503,47.3,78.49589,80.2571,1,0
29137,46216,19.8594,0,76.17554,77.55967,1,0
29139,48951,17.93431,21.49,76.03245,77.3562,1,0
29141,45276,22.57983,0,76.65343,78.44419,1,0
29143,38093,16.13618,43.14,71.68118,75.13103,1,0
29145,49220,16.63205,35.56,77.51453,77.87361,1,0
29147,46698,14.85324,56.57,67.58131,69.3925,1,0
29149,32720,21.35609,19.47,78.64494,81.17746,1,0
29151,58855,15.54154,0,82.57983,85.2235,1,0
29153,34367,24.93355,0,80.8487,83.55263,1,0
29155,31831,14.84109,50.73,65.79253,71.83958,1,0
29157,53871,15.36209,44.38,79.09986,81.05219,1,0
29159,45254,14.77809,62.22,70.88944,72.54543,1,0
29161,43079,14.64256,53.78,68.64696,68.88798,1,0
29163,43591,17.05737,45.62,71.51186,76.19233,1,0
29165,82567,12.25681,84.19,53.54731,50.4924,1,0
29167,45336,16.96806,31.13,76.11788,78.66436,1,0
29169,52532,8.451025,55.97,73.42111,71.6595,1,0
29171,40866,22.15321,0,82.66439,84.03219,1,0
29173,57549,18.70079,3.89,75.3703,77.64041,1,0
29175,44975,15.73792,54.82,73.03327,74.6277,1,0
29177,58693,15.625,24.78,65.55607,71.63705,1,0
29179,36592,22.33542,0,79.22163,82.8684,1,0
29181,32802,18.70065,0,81.91374,84.6423,1,0
29183,82048,12.63931,94.17,60.59706,57.82846,1,0
29185,37013,25.34984,0,75.61555,79.05106,1,0
29186,59043,16.13085,23.86,64.9604,69.90721,1,0
29187,45584,15.78993,60.24,70.67654,73.25095,1,0
29189,66992,15.52634,98.86,39.53997,37.1879,1,0
29195,43776,16.21868,54.19,64.65116,67.76972,1,0
