INSTNM,STABBR,PREDDEG,HIGHDEG,CCBASIC,CCUGPROF,CCSIZSET,RELAFFIL,SAT_AVG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,COSTT4_A,AVGFACSAL,PFTFAC
Simpson University,CA,3,4,20,13,8,34,1078,0.5547,0.0405,0.1874,0.0525,0.024,0.0015,39946,6463,1
Saint Mary's College of California,CA,3,4,18,14,14,30,1174,0.4383,0.0385,0.2729,0.1028,0.0043,0.0129,65419,10813,0.2358
Sonoma State University,CA,3,4,18,13,13,NULL,1072,0.4347,0.0229,0.3333,0.0496,0.0045,0.0032,24914,10197,0.4707
South Baylo University,CA,4,4,26,0,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3807,0.3288
Vanguard University of Southern California,CA,3,4,20,11,11,27,1039,0.3811,0.0548,0.4224,0.0358,0.0027,0.0114,44768,8314,1
St John's Seminary,CA,4,4,24,0,18,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4937,0.6389
Starr King School for the Ministry,CA,4,4,24,0,18,93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3981,0.2963
Marshall B Ketchum University,CA,4,4,26,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10147,0.6636
Southern California Institute of Architecture,CA,3,4,30,11,6,NULL,NULL,0.1365,0,0.1687,0.1205,0,0.004,67638,14128,0.4211
University of Southern California,CA,3,4,15,15,16,NULL,1445,0.3922,0.0458,0.1526,0.2075,0.0012,0.0024,72097,14712,0.5931
Southwestern Law School,CA,4,4,31,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14456,0.9483
Claremont School of Theology,CA,4,4,24,0,18,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6747,1
Thomas Aquinas College,CA,3,3,21,14,8,30,1307,0.7101,0.0049,0.1523,0.0246,0.0025,0.0049,35786,8997,0.9821
The Santa Barbara and Ventura Colleges of Law at Ventura,CA,4,4,31,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Walden University,MN,3,4,17,5,15,NULL,NULL,0.4307,0.3359,0.0509,0.0197,0.0049,0.0038,25065,6896,0.0687
Westminster Theological Seminary in California,CA,4,4,24,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9512,0.5
Westmont College,CA,3,3,21,14,11,108,1249,0.5782,0.015,0.1809,0.0829,0.0024,0.0055,60930,7816,0.5482
Whittier College,CA,3,4,21,12,11,NULL,1126,0.2629,0.046,0.5102,0.0681,0.0047,0.0035,56292,8200,0.6878
Woodbury University,CA,3,4,19,11,9,NULL,1056,0.3406,0.0333,0.353,0.0894,0.001,0.0038,51282,7541,0.2788
The Wright Institute,CA,4,4,26,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8077,0.3529
Thomas Jefferson School of Law,CA,4,4,31,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13792,0.3448
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA,3,3,24,13,8,NULL,NULL,0.9935,0,0,0,0,0,26600,7069,NULL
University of Colorado Denver/Anschutz Medical Campus,CO,3,4,15,9,15,NULL,1132,0.4574,0.0532,0.236,0.1023,0.0033,0.0011,22243,10640,0.6516
University of Colorado Colorado Springs,CO,3,4,16,9,15,NULL,1123,0.6324,0.0402,0.1847,0.0341,0.0033,0.0022,21737,8322,0.5761
University of Colorado Boulder,CO,3,4,15,14,16,NULL,1281,0.6745,0.0157,0.122,0.0566,0.0016,0.0009,30178,11684,0.6874
Colorado Christian University,CO,3,4,19,5,12,88,NULL,0.6189,0.1242,0.1793,0.0144,0.0059,0.0032,43486,6538,0.1862
Colorado College,CO,3,4,21,14,11,NULL,NULL,0.6559,0.0243,0.0882,0.0477,0.0057,0.0014,68532,11597,0.8805
Colorado School of Mines,CO,3,4,16,14,13,NULL,1383,0.7222,0.01,0.0921,0.0446,0.0037,0.0006,33038,12065,0.9613
Colorado State University-Fort Collins,CO,3,4,15,15,16,NULL,1197,0.7135,0.0232,0.1423,0.0274,0.0042,0.0016,26861,10039,0.6901
Colorado Technical University-Colorado Springs,CO,3,4,17,7,15,NULL,NULL,0.3445,0.2507,0.0172,0.0079,0.0125,0.0011,21248,7122,NULL
Denver Seminary,CO,4,4,24,0,18,79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5537,0.871
University of Denver,CO,3,4,16,14,13,NULL,1300,0.6811,0.0186,0.1136,0.0416,0.0028,0.001,64513,10796,0.5606
Fort Lewis College,CO,3,4,21,13,13,NULL,1094,0.4557,0.0103,0.1142,0.0061,0.2739,0.0022,25229,7291,0.9711
Iliff School of Theology,CO,4,4,24,0,18,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7021,1
Colorado Mesa University,CO,3,4,20,11,13,NULL,1022,0.6824,0.0233,0.1891,0.0156,0.0056,0.0048,21181,6832,0.5181
Metropolitan State University of Denver,CO,3,4,18,7,15,NULL,1016,0.5109,0.0654,0.2881,0.0421,0.0045,0.0026,21702,6545,1
Naropa University,CO,3,4,19,11,7,NULL,NULL,0.7017,0.0122,0.1051,0.0171,0,0,50081,6218,0.3333
Nazarene Bible College,CO,3,3,24,5,6,59,NULL,0.7658,0.0757,0.0865,0.0252,0.0072,0.0054,NULL,4929,1
University of Northern Colorado,CO,3,4,17,13,16,NULL,1099,0.627,0.0438,0.2233,0.0221,0.0039,0.002,22886,7785,0.5894
Regis University,CO,3,4,17,5,12,30,1160,0.4888,0.0395,0.1931,0.0446,0.0043,0.0031,48280,7295,0.4503
Rocky Mountain College of Art and Design,CO,3,4,30,7,6,NULL,NULL,0.589,0.0685,0.1246,0.0314,0.0228,0,25620,4051,1
Colorado State University-Pueblo,CO,3,4,20,11,13,NULL,1040,0.4636,0.0647,0.3523,0.0107,0.0061,0.0025,20870,6887,0.5163
United States Air Force Academy,CO,3,3,21,14,14,NULL,1366,0.6301,0.0632,0.1063,0.057,0.0037,0.0062,NULL,9147,0.9833
Western Colorado University,CO,3,4,20,13,11,NULL,1095,0.7098,0.0284,0.1129,0.0077,0.0057,0.0021,23409,6761,0.763
Albertus Magnus College,CT,3,4,19,11,10,30,931,0.345,0.3315,0.195,0.0072,0.0054,0.0009,47496,7300,0.2593
University of Bridgeport,CT,3,4,17,7,13,NULL,997,0.2167,0.2861,0.2064,0.0337,0.0053,0.0003,49222,8597,0.2792
Central Connecticut State University,CT,3,4,18,13,13,NULL,1076,0.593,0.1235,0.1573,0.0451,0.001,0.0011,21628,8965,0.4664
Charter Oak State College,CT,3,4,21,5,6,NULL,NULL,0.5365,0.1827,0.1671,0.0332,0.0014,0.0007,NULL,NULL,0
Connecticut College,CT,3,3,21,14,11,NULL,1380,0.6952,0.0417,0.0857,0.0484,0.0011,0.0011,69379,9949,0.7088
University of Connecticut,CT,3,4,15,14,17,NULL,1318,0.5647,0.0618,0.1104,0.1106,0.0014,0.0006,30687,11874,0.6654
Eastern Connecticut State University,CT,3,4,20,13,14,NULL,NULL,0.6446,0.0963,0.1213,0.0297,0.0024,0.0017,25926,8547,1
Fairfield University,CT,3,4,18,12,14,30,NULL,0.7724,0.0227,0.0719,0.0268,0.001,0.0005,63771,11364,1
