INSTNM,STABBR,PREDDEG,HIGHDEG,CCBASIC,CCUGPROF,CCSIZSET,RELAFFIL,SAT_AVG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,COSTT4_A,AVGFACSAL,PFTFAC
New York Institute of Technology,NY,3,4,18,13,12,NULL,1172,0.2634,0.0969,0.1707,0.1821,0.0022,0.0047,48237,12095,0.29
New York School of Interior Design,NY,3,4,30,5,6,NULL,1159,0.5473,0.0344,0.1318,0.0458,0.0029,0,41490,NULL,0.0403
Nyack College,NY,3,4,18,11,11,34,999,0.2069,0.2859,0.3032,0.0647,0.009,0.0053,39048,6683,0.3396
Pace University,NY,3,4,17,13,16,NULL,1154,0.5137,0.1057,0.1235,0.0783,0.0031,0.0008,61607,12267,1
Paul Smiths College of Arts and Science,NY,3,3,22,13,8,NULL,NULL,0.8662,0.0338,0.0405,0.0095,0.0122,0.0014,44551,5532,0.6842
Davis College,NY,3,3,24,9,7,88,NULL,0.6259,0.1727,0.0432,0.0072,0,0,26441,5873,1
Pratt Institute-Main,NY,3,4,30,14,14,NULL,1213,0.3832,0.0404,0.098,0.1223,0.0003,0.0006,65249,10725,0.1507
Rabbinical Academy Mesivta Rabbi Chaim Berlin,NY,3,4,24,10,8,NULL,NULL,0.9655,0,0,0,0,0,19450,5318,NULL
Rabbinical College Bobover Yeshiva Bnei Zion,NY,3,4,24,11,7,80,NULL,1,0,0,0,0,0,14648,3222,NULL
Rabbinical Seminary of America,NY,3,4,24,10,8,80,NULL,1,0,0,0,0,0,19100,2507,0.9286
Rensselaer Polytechnic Institute,NY,3,4,15,14,14,NULL,1415,0.5058,0.0402,0.0938,0.136,0.0015,0.0002,70132,12554,0.8838
Roberts Wesleyan College,NY,3,4,18,13,11,64,1129,0.7276,0.0843,0.064,0.0233,0.0023,0.0008,43338,6536,0.9304
Rochester Institute of Technology,NY,3,4,16,14,17,NULL,1319,0.6557,0.0449,0.0767,0.0974,0.0012,0.0002,54334,10453,0.7117
University of Rochester,NY,3,4,15,14,17,NULL,1422,0.422,0.0491,0.071,0.1118,0.0011,0.0006,70108,12762,0.9336
Rockefeller University,NY,4,4,16,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20057,0.9341
Russell Sage College,NY,3,4,17,13,11,NULL,NULL,0.6099,0.1127,0.0994,0.0403,0.0028,0.0028,43963,6340,0.8652
St Bernard's School of Theology and Ministry,NY,4,4,24,0,18,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5450,NULL
St Bonaventure University,NY,3,4,19,12,11,30,1158,0.7225,0.0555,0.0659,0.0393,0.004,0.0012,47137,6433,0.6545
St Francis College,NY,3,4,22,11,9,NULL,NULL,0.3607,0.1905,0.2406,0.0432,0.0056,0.0108,31950,8965,0.2486
St Lawrence University,NY,3,4,21,14,11,NULL,1292,0.7851,0.0337,0.0482,0.0141,0.0012,0,68281,9504,0.7969
The College of Saint Rose,NY,3,4,18,11,13,NULL,NULL,0.5496,0.1693,0.0701,0.0263,0.0049,0.0016,46940,7932,0.5463
St. Thomas Aquinas College,NY,3,4,20,11,11,NULL,1028,0.5,0.1068,0.2415,0.0254,0.0025,0,44736,9000,0.3716
Sarah Lawrence College,NY,3,4,21,14,11,NULL,1343,0.5435,0.0475,0.0964,0.0497,0.0007,0,70266,10182,0.3802
Sh'or Yoshuv Rabbinical College,NY,3,3,24,11,8,80,NULL,0.9493,0,0,0,0,0,17460,5014,0.8
Siena College,NY,3,4,20,12,14,30,NULL,0.7809,0.0351,0.0826,0.0447,0.0016,0.0003,53855,8645,0.6361
Skidmore College,NY,3,4,21,14,11,NULL,1325,0.6224,0.0512,0.092,0.0497,0,0,69450,9898,0.8149
St. Joseph's College-New York,NY,3,4,19,11,6,NULL,1109,0.3565,0.2316,0.2412,0.0576,0.0043,0.0043,33330,8918,1
Saint Vladimirs Orthodox Theological Seminary,NY,4,4,24,0,18,92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6371,0.4
Saint John Fisher College,NY,3,4,17,15,14,30,1171,0.8471,0.0389,0.0491,0.0301,0.0029,0,46635,9390,1
St John's University-New York,NY,3,4,17,14,16,30,1181,0.4072,0.1604,0.1109,0.1537,0.0046,0.0026,52721,12545,0.4338
SUNY College of Agriculture and Technology at Cobleskill,NY,3,3,22,11,11,NULL,975,0.6535,0.1107,0.1165,0.0188,0.0018,0,23507,6576,0.5955
Farmingdale State College,NY,3,3,22,13,12,NULL,1091,0.5452,0.0944,0.2246,0.0861,0.0018,0.0021,16091,8333,0.3175
SUNY at Albany,NY,3,4,15,15,17,NULL,1185,0.4368,0.1918,0.1755,0.0821,0.0016,0.0011,25238,9678,0.5967
Binghamton University,NY,3,4,15,15,17,NULL,1376,0.5728,0.0515,0.1145,0.1447,0.0007,0.0004,25846,9779,0.7128
University at Buffalo,NY,3,4,15,15,16,NULL,1250,0.4736,0.0795,0.0741,0.1496,0.0031,0.0006,24568,10636,0.639
Stony Brook University,NY,3,4,15,15,17,NULL,1326,0.3247,0.0711,0.1216,0.2596,0.001,0.0006,24718,12058,0.6279
SUNY College of Environmental Science and Forestry,NY,3,4,16,15,10,NULL,1227,0.7823,0.0148,0.0616,0.0357,0.0022,0.0011,26736,8738,0.7033
SUNY Polytechnic Institute,NY,3,4,19,13,10,NULL,1176,0.716,0.0651,0.0858,0.0821,0.0019,0.0019,21567,9553,0.4966
SUNY College at Brockport,NY,3,4,18,13,13,NULL,1107,0.6985,0.1116,0.0774,0.0208,0.0026,0.0004,22901,7575,0.5696
SUNY Buffalo State,NY,3,4,18,11,13,NULL,950,0.4427,0.3371,0.1303,0.0361,0.0033,0.0006,21413,7889,0.4374
SUNY Cortland,NY,3,4,18,13,13,NULL,1138,0.727,0.0599,0.1304,0.0128,0.0024,0.0006,24661,6787,0.5687
SUNY at Fredonia,NY,3,4,19,13,14,NULL,1084,0.719,0.0879,0.1022,0.0195,0.005,0.0005,23138,7056,0.5882
SUNY College at Geneseo,NY,3,4,20,14,14,NULL,1219,0.7583,0.0299,0.0862,0.055,0.0007,0.0009,25001,7564,0.6835
State University of New York at New Paltz,NY,3,4,18,15,13,NULL,1197,0.5896,0.0569,0.206,0.0545,0.0003,0.0012,24842,7282,0.5425
SUNY Oneonta,NY,3,4,19,13,14,NULL,1074,0.7321,0.049,0.15,0.0216,0.0033,0.0007,23891,6879,0.5903
SUNY College at Oswego,NY,3,4,18,15,14,NULL,1158,0.6899,0.0996,0.1213,0.0284,0.0034,0.0003,23704,7086,0.6365
SUNY College at Potsdam,NY,3,4,19,13,14,NULL,NULL,0.613,0.1287,0.1545,0.0237,0.0167,0.0006,23443,6483,0.7195
SUNY at Purchase College,NY,3,4,21,13,14,NULL,1175,0.5196,0.121,0.2391,0.044,0.0005,0.0012,26352,7555,0.3823
SUNY College of Optometry,NY,4,4,26,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10403,0.5686
SUNY College at Old Westbury,NY,3,4,20,11,12,NULL,1002,0.2788,0.2891,0.2676,0.1051,0.0043,0.0024,20303,8692,0.4413
SUNY College at Plattsburgh,NY,3,4,19,13,13,NULL,1142,0.6435,0.0916,0.1176,0.0254,0.005,0.0013,23938,7147,0.6152
SUNY Downstate Health Sciences University,NY,3,4,25,11,11,NULL,NULL,0.3507,0.2512,0.1422,0.1848,0,0,NULL,12221,0.8143
SUNY Empire State College,NY,3,4,18,5,12,NULL,NULL,0.5817,0.1656,0.1419,0.025,0.0046,0.0021,20875,7274,0.1979
SUNY Maritime College,NY,3,4,20,14,11,NULL,1176,0.6875,0.0493,0.1417,0.0436,0.0006,0,25308,7612,0.6389
Upstate Medical University,NY,3,4,25,7,10,NULL,NULL,0.7621,0.0242,0.0645,0.0484,0.004,0,NULL,8527,0.6567
Syracuse University,NY,3,4,15,14,17,NULL,1284,0.5672,0.0653,0.0928,0.0697,0.0054,0.0006,65295,11808,0.6617
Talmudical Seminary Oholei Torah,NY,3,3,24,11,8,NULL,NULL,0.9032,0,0,0,0,0,21614,4850,0.7941
Talmudical Institute of Upstate New York,NY,3,3,24,10,8,NULL,NULL,1,0,0,0,0,0,11600,2727,NULL
Teachers College at Columbia University,NY,4,4,16,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14573,0.3822
Torah Temimah Talmudical Seminary,NY,3,3,24,11,8,NULL,NULL,0.9524,0,0,0,0,0,17230,5984,NULL
Touro College,NY,3,4,17,9,12,NULL,NULL,0.6008,0.135,0.0965,0.0311,0.0006,0.0019,30356,7833,0.4022
Excelsior College,NY,3,4,18,5,15,NULL,NULL,0.6083,0.182,0.1099,0.0289,0.0058,0.0059,NULL,NULL,NULL
Union College,NY,3,3,21,14,11,NULL,NULL,0.7046,0.0385,0.0803,0.0541,0.0009,0,68452,11755,0.8708
Union Theological Seminary in the City of New York,NY,4,4,24,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8871,1
United Talmudical Seminary,NY,3,3,24,11,9,80,NULL,0.9527,0,0.0025,0,0,0,19009,2824,0.522
United States Merchant Marine Academy,NY,3,4,22,14,8,NULL,1296,0.7651,0.0241,0.0763,0.0733,0.011,0.009,6646,10360,0.7674
United States Military Academy,NY,3,3,21,14,14,NULL,1312,0.6274,0.1218,0.1015,0.0819,0.0089,0.0015,NULL,9395,1
Utica College,NY,3,4,18,11,13,NULL,NULL,0.6868,0.1038,0.0863,0.0364,0.0044,0.0008,32202,8247,0.3354
Vassar College,NY,3,3,21,14,11,NULL,1442,0.5612,0.0406,0.1149,0.119,0.0004,0,70900,12143,0.8392
Villa Maria College,NY,3,3,23,11,6,30,NULL,0.5446,0.3011,0.0743,0.013,0.0056,0,27311,4148,0.2719
School of Visual Arts,NY,3,4,30,13,13,NULL,1202,0.2164,0.0393,0.1029,0.137,0.0003,0,58397,3164,0.3733
Wagner College,NY,3,4,19,13,11,67,NULL,0.6233,0.0753,0.129,0.0508,0.0011,0.0006,57480,8375,0.982
Webb Institute,NY,3,3,27,14,8,NULL,1476,0.8077,0,0.0192,0.1058,0,0,69075,9936,0.5556
Wells College,NY,3,3,21,12,8,NULL,1138,0.581,0.1533,0.1447,0.0194,0.013,0,54710,7012,0.7213
Yeshiva Karlin Stolin,NY,3,3,24,10,7,NULL,NULL,1,0,0,0,0,0,17677,5197,NULL
Yeshiva Derech Chaim,NY,3,4,24,13,8,NULL,NULL,0.8182,0,0,0,0,0,18400,5845,0.6522
Yeshiva of Nitra Rabbinical College,NY,3,4,24,11,8,NULL,NULL,0.9433,0,0,0,0,0,16300,2260,0.92
Yeshiva Shaar Hatorah,NY,3,3,24,12,8,80,NULL,1,0,0,0,0,0,17855,6783,NULL
Yeshiva University,NY,3,4,16,14,14,NULL,1259,0.9348,0,0.003,0,0,0,60525,12178,0.4852
Yeshivath Viznitz,NY,3,3,24,10,8,NULL,NULL,1,0,0,0,0,0,18703,3067,0.6812
Appalachian State University,NC,3,4,18,15,16,NULL,1210,0.8302,0.0348,0.063,0.0169,0.0024,0.0007,18972,8281,0.7725
Barton College,NC,3,4,22,11,8,61,1032,0.5679,0.2041,0.0912,0.0104,0.0083,0,44193,6151,0.9873
Belmont Abbey College,NC,3,3,22,13,11,30,1081,0.5774,0.1349,0.014,0.0186,0.0086,0.0007,32045,4901,0.6102
Bennett College,NC,3,3,21,10,8,71,911,0.0043,0.8614,0.0171,0,0,0,32758,4752,0.6094
Brevard College,NC,3,3,22,14,8,71,NULL,0.6777,0.1246,0.0702,0.0086,0.0129,0.0014,41609,5039,1
Campbell University,NC,3,4,17,13,13,54,1120,0.587,0.1531,0.0924,0.0188,0.0055,0.0026,47083,8642,0.4613
Catawba College,NC,3,4,22,11,11,NULL,1055,0.6228,0.2112,0.0733,0.0055,0.0039,0.0008,43101,6957,0.6378
Chowan University,NC,3,3,21,10,11,75,903,0.1844,0.6564,0.0337,0.0014,0.01,0.0014,35629,7060,1
Davidson College,NC,3,3,21,14,11,66,1392,0.6716,0.0691,0.081,0.0522,0.0049,0.0016,66678,11547,0.9509
Duke University,NC,3,4,15,14,17,71,1516,0.4247,0.1014,0.0946,0.2204,0.0071,0.0017,72466,16170,0.9252
East Carolina University,NC,3,4,16,13,16,NULL,1124,0.6682,0.1572,0.0686,0.0256,0.0063,0.0015,21950,8629,0.7827
Elizabeth City State University,NC,3,4,22,11,11,NULL,974,0.1603,0.7141,0.0412,0.0064,0.0052,0.0013,14934,7552,0.8636
Elon University,NC,3,4,17,14,14,NULL,1265,0.7952,0.0557,0.0642,0.0242,0.0011,0.0005,49493,9270,0.7584
Fayetteville State University,NC,3,4,19,7,13,NULL,987,0.1872,0.6153,0.0791,0.0167,0.0242,0.0026,16030,8484,0.8779
Gardner-Webb University,NC,3,4,17,13,11,75,1080,0.6522,0.1418,0.0383,0.0129,0.0055,0.0015,43652,6934,0.9846
Greensboro College,NC,3,4,22,10,8,71,1021,0.5351,0.2583,0.0424,0.0079,0.0066,0,41128,6177,1
Guilford College,NC,3,3,21,11,11,65,NULL,0.5573,0.256,0.0955,0.0269,0.005,0.0007,50619,5965,0.5525
Heritage Bible College,NC,3,3,24,5,7,79,NULL,0.625,0.3125,0.0313,0,0,0.0313,15378,2568,NULL
High Point University,NC,3,4,22,12,14,71,1184,0.7777,0.0498,0.0542,0.0173,0.004,0.0002,50740,7635,1
Johnson C Smith University,NC,3,4,21,10,11,NULL,897,0.0142,0.8459,0.0304,0.002,0.0041,0.002,32065,6405,0.5549
Lees-McRae College,NC,3,3,22,13,8,66,NULL,0.7248,0.0798,0.0704,0.0053,0.0105,0.0011,42130,5190,0.4874
Lenoir-Rhyne University,NC,3,4,18,13,11,39,1070,0.6757,0.1136,0.0783,0.0171,0.0053,0.0006,49198,7716,0.9139
Livingstone College,NC,3,3,22,10,11,24,855,0.0157,0.8267,0,0.0017,0.0026,0.0017,27595,5131,0.9079
Mars Hill University,NC,3,4,22,10,11,NULL,1020,0.5947,0.192,0.0575,0.0168,0.0159,0.0009,43531,5228,0.9906
Meredith College,NC,3,4,21,12,11,NULL,1117,0.6903,0.0825,0.0857,0.0301,0.007,0.0013,47430,7433,1
Methodist University,NC,3,4,20,13,11,71,1060,0.4201,0.1688,0.0733,0.0097,0.0085,0.0017,53305,7261,0.5701
Montreat College,NC,3,4,20,7,7,42,1060,0.6359,0.1485,0.0602,0.0084,0.0168,0.0056,38034,5355,0.2426
University of Mount Olive,NC,3,4,20,5,9,100,1019,0.5258,0.2787,0.0705,0.0081,0.006,0.0007,29746,7278,1
North Carolina A & T State University,NC,3,4,16,11,16,NULL,1032,0.0523,0.8198,0.0409,0.0073,0.0025,0.0002,17639,8722,0.6364
University of North Carolina at Asheville,NC,3,4,21,15,13,NULL,1179,0.7614,0.052,0.0788,0.0193,0.0072,0.0009,19710,8362,0.7103
University of North Carolina at Chapel Hill,NC,3,4,15,14,17,NULL,1398,0.6017,0.078,0.0821,0.1102,0.0051,0.0007,25527,12841,0.7667
University of North Carolina at Charlotte,NC,3,4,16,15,16,NULL,1190,0.5699,0.1615,0.1005,0.0731,0.0031,0.0011,22346,9622,0.707
University of North Carolina at Greensboro,NC,3,4,16,13,16,NULL,1100,0.4682,0.2986,0.1051,0.0526,0.004,0.0006,19779,8757,0.7574
North Carolina Central University,NC,3,4,18,11,13,NULL,984,0.0578,0.8062,0.0524,0.0096,0.0044,0.0005,21885,8407,0.6716
University of North Carolina School of the Arts,NC,3,4,30,15,8,NULL,1199,0.7112,0.0876,0.0764,0.0247,0.0124,0,21560,7743,0.7754
North Carolina State University at Raleigh,NC,3,4,15,15,16,NULL,1336,0.6907,0.0557,0.0571,0.0736,0.0039,0.0006,23600,10964,0.8771
North Carolina Wesleyan College,NC,3,3,22,11,10,71,980,0.2926,0.4237,0.034,0.0065,0.0115,0,41924,5926,0.2195
University of North Carolina Wilmington,NC,3,4,16,15,16,NULL,1234,0.7842,0.0416,0.0723,0.019,0.004,0.0014,24098,8442,0.731
William Peace University,NC,3,3,22,11,8,66,1042,0.4677,0.277,0.1158,0.0204,0.0079,0.0011,43327,5849,0.3333
University of North Carolina at Pembroke,NC,3,4,18,11,13,NULL,1012,0.3616,0.3339,0.0649,0.0159,0.1549,0.0007,18589,7412,0.8186
Pfeiffer University,NC,3,4,18,11,8,71,1025,0.5856,0.2633,0.0867,0.0078,0.0022,0.0033,42382,6808,1
Queens University of Charlotte,NC,3,4,18,13,11,66,1142,0.574,0.1558,0.1044,0.0236,0.0071,0.0024,48369,7529,0.476
Mid-Atlantic Christian University,NC,3,3,24,10,8,48,962,0.5663,0.2857,0.0459,0,0.0051,0,28262,4834,1
Saint Augustine's University,NC,3,3,22,10,8,73,855,0.0156,0.914,0.0091,0,0.0013,0,32156,5916,0.6486
Salem College,NC,3,4,21,15,8,44,1183,0.5623,0.1825,0.1558,0.0223,0.003,0,45077,6062,0.4622
Shaw University,NC,3,4,22,14,11,54,NULL,0.0146,0.6505,0.0269,0.0607,0.0023,0.0092,29395,5122,0.6111
Southeastern Baptist Theological Seminary,NC,3,4,18,7,10,75,NULL,0.7731,0.1096,0.0654,0.0269,0.0058,0,NULL,6127,0.931
Wake Forest University,NC,3,4,16,14,14,NULL,NULL,0.6913,0.0645,0.0712,0.0373,0.0011,0.0002,69090,11666,0.761
Warren Wilson College,NC,3,4,21,14,8,NULL,1206,0.7606,0.074,0.0724,0.0079,0.0079,0,49588,5874,0.65
Wingate University,NC,3,4,17,10,14,NULL,1079,0.5744,0.1797,0.0408,0.0187,0.0022,0.0018,45165,7622,1
Carolina Christian College,NC,3,3,24,10,6,74,NULL,0.0154,0.9846,0,0,0,0,NULL,2556,NULL
Winston-Salem State University,NC,3,4,19,11,14,NULL,962,0.1115,0.7805,0.0354,0.0065,0.0039,0,19686,8087,0.7537
Western Carolina University,NC,3,4,18,13,13,NULL,1128,0.7907,0.0534,0.071,0.0115,0.0076,0.0007,21341,7827,0.7011
Dickinson State University,ND,3,3,22,7,9,NULL,1065,0.7837,0.0449,0.0566,0.0072,0.0099,0.0018,15506,6571,0.5887
University of Jamestown,ND,3,4,22,12,11,66,1092,0.7275,0.049,0.1038,0.008,0.0023,0.0057,32966,6426,1
University of Mary,ND,3,4,17,13,11,30,1138,0.7815,0.0189,0.041,0.0124,0.0166,0.0023,28472,8031,0.9613
Mayville State University,ND,3,4,22,9,7,NULL,1100,0.7642,0.0592,0.0615,0.0068,0.0171,0.0057,16209,5820,0.9412
Minot State University,ND,3,4,19,9,10,NULL,1059,0.6751,0.0498,0.0685,0.0141,0.0257,0.0037,15576,7010,0.5048
University of North Dakota,ND,3,4,16,13,16,NULL,1181,0.8086,0.0229,0.0388,0.0178,0.0121,0.0007,20611,8377,0.8975
North Dakota State University-Main Campus,ND,3,4,16,13,16,NULL,1170,0.8685,0.0275,0.0249,0.0148,0.006,0.0009,20733,9107,0.9623
Trinity Bible College and Graduate School,ND,3,4,24,10,8,27,1041,0.8295,0.0568,0.0455,0,0,0.0057,26735,3959,0.8889
Valley City State University,ND,3,4,22,9,10,NULL,1059,0.8141,0.0268,0.0616,0.004,0.0129,0.003,17987,5966,0.6283
The Art Institute of Cincinnati-AIC College of Design,OH,3,3,30,14,6,NULL,NULL,0.7647,0.1765,0,0,0,0,32274,NULL,NULL
Air Force Institute of Technology-Graduate School of Engineering & Management,OH,4,4,16,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Akron Main Campus,OH,3,4,16,12,15,NULL,1133,0.7497,0.1068,0.0295,0.0278,0.0018,0.0002,23417,9837,0.4972
Allegheny Wesleyan College,OH,3,3,24,10,8,79,NULL,1,0,0,0,0,0,14048,1974,0.25
Art Academy of Cincinnati,OH,3,4,30,11,6,NULL,1059,0.7277,0.1099,0.0576,0.0157,0.0052,0.0052,40498,3418,0.1818
Ashland University,OH,3,4,18,12,14,28,1132,0.6961,0.1497,0.0278,0.0091,0.0078,0.002,32757,7052,0.3787
Baldwin Wallace University,OH,3,4,18,13,14,NULL,1175,0.7799,0.0922,0.0559,0.0124,0.0007,0,44783,7998,0.5346
Bluffton University,OH,3,4,22,10,8,69,1080,0.7557,0.0971,0.0334,0.0061,0.003,0,45667,6054,0.5185
Bowling Green State University-Main Campus,OH,3,4,16,12,16,NULL,1084,0.7832,0.0855,0.0432,0.0098,0.0017,0.0003,23804,9101,0.6885
Capital University,OH,3,4,19,15,14,39,1162,0.7433,0.1008,0.0408,0.0183,0.0017,0.0017,47062,8543,0.4245
Case Western Reserve University,OH,3,4,15,14,17,NULL,1443,0.4714,0.0411,0.0782,0.2103,0.0016,0.0008,67083,11878,0.768
Cedarville University,OH,3,4,20,14,14,54,1246,0.8764,0.0148,0.0196,0.0169,0.0033,0.0009,38915,7426,0.655
Central State University,OH,3,3,22,10,11,NULL,880,0.0063,0.8831,0.0053,0.001,0.001,0,18737,6952,1
The Christ College of Nursing and Health Sciences,OH,3,3,26,5,6,NULL,1079,0.7991,0.1127,0.0123,0.01,0.0022,0.0011,25511,6891,1
Cincinnati Christian University,OH,3,4,24,11,8,48,991,0.5456,0.2821,0.0659,0.0051,0.0017,0.0051,31398,4352,1
University of Cincinnati-Main Campus,OH,3,4,15,14,16,NULL,1269,0.7428,0.0712,0.0337,0.0411,0.0012,0.0004,27097,9936,0.5689
Ohio Christian University,OH,3,4,19,7,12,79,NULL,0.521,0.285,0.0285,0.0091,0.0044,0.0004,33780,1421,1
Cleveland Institute of Art,OH,3,3,30,12,7,NULL,1129,0.6748,0.1094,0.0775,0.0319,0.0015,0.0015,55965,5865,0.4167
Cleveland Institute of Music,OH,3,4,30,14,7,NULL,NULL,0.2727,0.0087,0,0.0996,0.0043,0,66966,7875,0.2736
Cleveland State University,OH,3,4,16,9,15,NULL,1111,0.6301,0.1513,0.0665,0.0339,0.0017,0.001,22415,9548,0.4857
Columbus College of Art and Design,OH,3,4,30,13,10,NULL,NULL,0.6644,0.0912,0.066,0.0349,0,0.0029,47127,6496,0.2915
University of Dayton,OH,3,4,16,14,17,30,1263,0.7898,0.0269,0.0638,0.0141,0.0007,0.0005,57680,8877,0.6654
Defiance College,OH,3,4,22,11,8,76,1013,0.7212,0.1365,0.0904,0.0096,0.0096,0,45340,5919,0.5256
Denison University,OH,3,3,21,14,11,NULL,1323,0.6284,0.0621,0.087,0.0389,0,0.0004,64935,9242,1
The University of Findlay,OH,3,4,17,12,14,57,1165,0.7927,0.0434,0.0363,0.0142,0.0012,0.0004,44544,7437,0.6507
Franklin University,OH,3,4,29,5,9,NULL,NULL,0.5911,0.169,0.0211,0.0227,0.0116,0.0016,24981,8733,0.0902
Gods Bible School and College,OH,3,4,24,7,7,79,NULL,0.7922,0.0563,0.039,0.0043,0.0087,0,15529,1236,0.4082
Hebrew Union College-Jewish Institute of Religion,NY,4,4,24,0,18,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9144,0.4231
Heidelberg University,OH,3,4,22,12,11,76,1111,0.8008,0.091,0.0287,0.0086,0.001,0.0019,42734,6742,0.6148
Hiram College,OH,3,4,22,11,8,NULL,1090,0.608,0.1728,0.0605,0.0162,0.0022,0.0022,46975,6223,0.8857
John Carroll University,OH,3,4,19,14,14,30,1209,0.854,0.0408,0.0385,0.0229,0.0007,0,54358,9034,1
Kent State University at Kent,OH,3,4,16,13,16,NULL,1131,0.7523,0.0895,0.0371,0.017,0.0019,0.0007,23751,9143,0.5743
Kenyon College,OH,3,3,21,14,11,NULL,1395,0.7027,0.0361,0.0774,0.0361,0,0,69230,8767,0.9607
Kettering College,OH,3,4,26,5,6,95,1125,0.7984,0.0525,0.018,0.0262,0.0016,0.0016,23138,7489,0.6737
Lake Erie College,OH,3,4,19,11,8,NULL,1042,0.6714,0.1494,0.0455,0.0114,0.0028,0,43169,6418,0.4393
Lourdes University,OH,3,4,20,7,10,30,1069,0.6893,0.1144,0.0986,0.0059,0.003,0.001,33106,5645,0.2963
Malone University,OH,3,4,19,12,11,65,1110,0.7702,0.1221,0.0311,0.0042,0.0017,0,41887,6551,0.4873
Marietta College,OH,3,4,22,12,11,NULL,1137,0.7269,0.0437,0.0325,0.0041,0,0,49170,7420,1
Methodist Theological School in Ohio,OH,4,4,24,0,18,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7449,0.7391
Miami University-Oxford,OH,3,4,16,14,16,NULL,1297,0.7139,0.0348,0.0481,0.0222,0.0016,0.0006,31811,9534,1
Mount Carmel College of Nursing,OH,3,4,26,9,6,30,1070,0.8018,0.11,0.0183,0.0241,0.0034,0.0011,22014,7873,0.5082
University of Mount Union,OH,3,4,22,12,11,NULL,1132,0.7485,0.0812,0.0385,0.007,0.0046,0.0005,41620,7292,1
Mount Vernon Nazarene University,OH,3,4,19,12,11,59,1130,0.8618,0.0305,0.0263,0.0048,0.0036,0.0018,40379,6242,0.9167
Mount Saint Joseph University,OH,3,4,18,12,10,30,1122,0.7907,0.1198,0.0262,0.0051,0.0025,0.0017,37036,6598,0.9739
Muskingum University,OH,3,4,20,12,11,66,1102,0.7973,0.0512,0.0233,0.0071,0.0032,0,40533,10296,1
Notre Dame College,OH,3,4,20,11,10,30,994,0.5306,0.2993,0.0582,0.0104,0.0022,0.003,42206,5333,0.918
Northeast Ohio Medical University,OH,4,4,25,0,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9759,0.9167
Oberlin College,OH,3,4,21,14,11,NULL,1383,0.6187,0.051,0.084,0.0384,0,0.0004,71330,9466,0.9264
Ohio Dominican University,OH,3,4,18,13,11,30,1096,0.5269,0.2593,0.038,0.012,0.0074,0.0009,42156,7035,0.9844
Ohio Northern University,OH,3,4,22,14,11,71,1202,0.7854,0.0354,0.0093,0.0126,0.0019,0.0009,46118,8789,0.8628
Ohio State University-Main Campus,OH,3,4,15,15,16,NULL,1359,0.6684,0.0622,0.0435,0.0703,0.001,0.0005,26555,12390,0.6625
Ohio University-Main Campus,OH,3,4,16,9,16,NULL,1170,0.8272,0.0564,0.0327,0.013,0.0018,0.0007,27705,9082,0.7942
Ohio Wesleyan University,OH,3,3,21,12,11,71,NULL,0.6795,0.092,0.0605,0.0335,0,0.0006,59709,8672,0.5055
Otterbein University,OH,3,4,19,12,11,71,1191,0.767,0.0729,0.0398,0.025,0.003,0.0004,44497,7419,0.4985
Payne Theological Seminary,OH,4,4,24,0,18,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4874,0.2647
Pontifical College Josephinum,OH,3,4,24,11,8,30,NULL,0.7444,0.0222,0.1111,0.0556,0,0,39742,4991,1
Rabbinical College Telshe,OH,3,4,24,10,8,80,NULL,1,0,0,0,0,0,17900,2769,0.8571
Shawnee State University,OH,3,4,20,13,13,NULL,NULL,0.8664,0.0503,0.0083,0.0069,0.0043,0.0014,17331,6772,0.4448
Franciscan University of Steubenville,OH,3,4,19,15,11,30,1195,0.8054,0.0071,0.1167,0.0203,0.0019,0.0009,37257,7938,1
Tiffin University,OH,3,4,18,13,10,NULL,NULL,0.3388,0.0872,0.0386,0.0025,0.002,0.0005,37030,7055,1
University of Toledo,OH,3,4,16,13,15,NULL,1145,0.6864,0.1079,0.052,0.0218,0.0018,0.0007,23625,8943,0.7046
Tri-State Bible College,OH,3,3,24,5,6,88,NULL,0.5172,0.3793,0.0345,0.0345,0,0,NULL,892,NULL
Union Institute & University,OH,3,4,17,5,6,NULL,NULL,0.3973,0.1826,0.2603,0.0107,0.0046,0.0076,26820,5439,0.1774
United Theological Seminary,OH,4,4,24,0,18,71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6826,0.4815
