Institution Name,EnrollmentFullTime,State,Ranking List,Rank,Undergraduate Admit Rate,Google Avg Monthly Search Volume,Student Life Grade,15-Year NPV,30-Year NPV,Instructional Wages per Full-Time Student,Average Undergraduate Tuition and Fees,Endowment per Full Time Student,Percentage of International Students,Category
Widener University,4496,PA,USN National University Ranking,202,0.69,33100,B-,280000,800000,9066,45948,20409,0,Struggle
Wilkes University,2693,PA,USN National University Ranking,211,0.75,22200,B,283000,785000,8814,36194,19171,0.02,Challenged
Willamette University,2291,OR,USN National College Ranking,68,0.84,18100,C+,249000,747000,9327,50279,112890,0.07,Challenged
William Carey University,3103,MS,USN National University Ranking,281,0.68,18100,B+,192000,530000,6625,12600,6216,0,Survive
Williams College,2096,MA,USN National College Ranking,1,0.13,60500,A-,342000,916000,22315,55450,1252990,0.09,Thrive
Wittenberg University,1693,OH,USN National College Ranking,160,0.74,18100,B+,229000,649000,6045,39500,68491,0.06,Challenged
Wofford College,1653,SC,USN National College Ranking,72,0.64,27100,A-,288000,789000,7661,43985,124616,0.03,Struggle
Worcester Polytechnic Institute,5371,MA,USN National University Ranking,64,0.42,40500,B+,468000,1295000,13414,50530,96748,0.07,Survive
Yale University,13303,CT,USN National University Ranking,3,0.06,165000,A+,546000,1356000,38957,53430,2213406,0.12,Thrive
Yeshiva University,5379,NY,USN National University Ranking,97,0.6,27100,A,279000,848000,7782,43500,95714,0.1,Challenged
